symbol,direction,entry_time,entry_price,exit_time,exit_price,quantity,realized_pnl,pnl_points,commission,exit_reason,entry_metadata,sig
ES,LONG,2024-03-28 19:30:00+00:00,5319.5,2024-03-28 19:45:00+00:00,5311.75,1,-41.15,7.75,2.4,stop_loss,"{'signal_confidence': 0.7, 'signal_reason': 'MOM_BRK_LONG | ADX=17 | RSI=64 | brkH=5318.75 | SL=7.2pt | TP=14.2pt', 'entry_module': '', 'entry_reason': '', 'entry_type': 'or_breakout', 'atr': 4.786696052085054, 'atr_value': 4.786696052085054, 'adx_value': 16.91557476720192, 'market_state': 'OR_BREAKOUT', 'trend_label': '', 'trend_label_htf': '', 'session_type': 'RTH', 'entry_bar_index': 905}",MOM_BRK_LONG
ES,LONG,2024-09-13 14:45:00+00:00,5635.25,2024-09-13 16:45:00+00:00,5626.0,1,-48.65,9.25,2.4,flatten,"{'signal_confidence': 0.7, 'signal_reason': 'MOM_BRK_LONG | ADX=16 | RSI=73 | brkH=5634.75 | SL=12.0pt | TP=24.0pt', 'entry_module': '', 'entry_reason': '', 'entry_type': 'or_breakout', 'atr': 7.988891930807743, 'atr_value': 7.988891930807743, 'adx_value': 16.150972604855916, 'market_state': 'OR_BREAKOUT', 'trend_label': '', 'trend_label_htf': '', 'session_type': 'RTH', 'entry_bar_index': 11847}",MOM_BRK_LONG
ES,LONG,2024-09-17 14:15:00+00:00,5667.75,2024-09-17 14:45:00+00:00,5657.75,1,-52.4,10.0,2.4,stop_loss,"{'signal_confidence': 0.7, 'signal_reason': 'MOM_BRK_LONG | ADX=44 | RSI=65 | brkH=5665.75 | SL=9.4pt | TP=19.0pt', 'entry_module': '', 'entry_reason': '', 'entry_type': 'or_breakout', 'atr': 6.29491949024536, 'atr_value': 6.29491949024536, 'adx_value': 43.753061296600116, 'market_state': 'OR_BREAKOUT', 'trend_label': '', 'trend_label_htf': '', 'session_type': 'RTH', 'entry_bar_index': 12029}",MOM_BRK_LONG
ES,LONG,2024-10-09 15:30:00+00:00,5826.75,2024-10-09 17:30:00+00:00,5833.5,1,31.35,6.75,2.4,flatten,"{'signal_confidence': 0.7, 'signal_reason': 'MOM_BRK_LONG | ADX=27 | RSI=86 | brkH=5825.25 | SL=8.5pt | TP=17.0pt', 'entry_module': '', 'entry_reason': '', 'entry_type': 'or_breakout', 'atr': 5.672965779076985, 'atr_value': 5.672965779076985, 'adx_value': 27.152723842785274, 'market_state': 'OR_BREAKOUT', 'trend_label': '', 'trend_label_htf': '', 'session_type': 'RTH', 'entry_bar_index': 13506}",MOM_BRK_LONG
ES,LONG,2024-10-11 19:15:00+00:00,5866.75,2024-10-11 20:00:00+00:00,5859.5,1,-38.65,7.25,2.4,stop_loss,"{'signal_confidence': 0.7, 'signal_reason': 'MOM_BRK_LONG | ADX=33 | RSI=69 | brkH=5864.00 | SL=9.6pt | TP=19.2pt', 'entry_module': '', 'entry_reason': '', 'entry_type': 'or_breakout', 'atr': 6.397378765052525, 'atr_value': 6.397378765052525, 'adx_value': 32.79919589773419, 'market_state': 'OR_BREAKOUT', 'trend_label': '', 'trend_label_htf': '', 'session_type': 'RTH', 'entry_bar_index': 13705}",MOM_BRK_LONG
ES,LONG,2024-10-22 18:00:00+00:00,5899.25,2024-10-22 18:45:00+00:00,5889.25,1,-52.4,10.0,2.4,stop_loss,"{'signal_confidence': 0.7, 'signal_reason': 'MOM_BRK_LONG | ADX=21 | RSI=73 | brkH=5895.75 | SL=9.5pt | TP=19.0pt', 'entry_module': '', 'entry_reason': '', 'entry_type': 'or_breakout', 'atr': 6.356910352159869, 'atr_value': 6.356910352159869, 'adx_value': 20.868455720816552, 'market_state': 'OR_BREAKOUT', 'trend_label': '', 'trend_label_htf': '', 'session_type': 'RTH', 'entry_bar_index': 14344}",MOM_BRK_LONG
ES,LONG,2024-10-25 14:15:00+00:00,5893.75,2024-10-25 14:45:00+00:00,5886.0,1,-41.15,7.75,2.4,stop_loss,"{'signal_confidence': 0.7, 'signal_reason': 'MOM_BRK_LONG | ADX=44 | RSI=85 | brkH=5890.75 | SL=7.2pt | TP=14.5pt', 'entry_module': '', 'entry_reason': '', 'entry_type': 'or_breakout', 'atr': 4.822510506899707, 'atr_value': 4.822510506899707, 'adx_value': 43.86508362573846, 'market_state': 'OR_BREAKOUT', 'trend_label': '', 'trend_label_htf': '', 'session_type': 'RTH', 'entry_bar_index': 14605}",MOM_BRK_LONG
ES,LONG,2024-10-29 17:15:00+00:00,5880.0,2024-10-29 19:15:00+00:00,5878.75,1,-8.65,1.25,2.4,flatten,"{'signal_confidence': 0.7, 'signal_reason': 'MOM_BRK_LONG | ADX=20 | RSI=70 | brkH=5874.75 | SL=11.3pt | TP=22.8pt', 'entry_module': '', 'entry_reason': '', 'entry_type': 'or_breakout', 'atr': 7.542643059308454, 'atr_value': 7.542643059308454, 'adx_value': 20.392597319500325, 'market_state': 'OR_BREAKOUT', 'trend_label': '', 'trend_label_htf': '', 'session_type': 'RTH', 'entry_bar_index': 14801}",MOM_BRK_LONG
ES,LONG,2024-11-05 15:45:00+00:00,5795.75,2024-11-05 16:00:00+00:00,5784.0,1,-61.15,11.75,2.4,stop_loss,"{'signal_confidence': 0.7, 'signal_reason': 'MOM_BRK_LONG | ADX=27 | RSI=81 | brkH=5794.50 | SL=11.3pt | TP=22.8pt', 'entry_module': '', 'entry_reason': '', 'entry_type': 'or_breakout', 'atr': 7.555996887300105, 'atr_value': 7.555996887300105, 'adx_value': 26.654936270827044, 'market_state': 'OR_BREAKOUT', 'trend_label': '', 'trend_label_htf': '', 'session_type': 'RTH', 'entry_bar_index': 15251}",MOM_BRK_LONG
ES,LONG,2024-11-07 20:00:00+00:00,6007.0,2024-11-07 21:00:00+00:00,6002.25,1,-26.15,4.75,2.4,stop_loss,"{'signal_confidence': 0.7, 'signal_reason': 'MOM_BRK_LONG | ADX=27 | RSI=71 | brkH=6002.00 | SL=11.5pt | TP=23.0pt', 'entry_module': '', 'entry_reason': '', 'entry_type': 'or_breakout', 'atr': 7.664952706908613, 'atr_value': 7.664952706908613, 'adx_value': 26.65366710796131, 'market_state': 'OR_BREAKOUT', 'trend_label': '', 'trend_label_htf': '', 'session_type': 'RTH', 'entry_bar_index': 15452}",MOM_BRK_LONG
ES,LONG,2024-11-08 19:00:00+00:00,6034.25,2024-11-08 20:15:00+00:00,6026.0,1,-43.65,8.25,2.4,stop_loss,"{'signal_confidence': 0.7, 'signal_reason': 'MOM_BRK_LONG | ADX=40 | RSI=75 | brkH=6033.50 | SL=7.8pt | TP=15.8pt', 'entry_module': '', 'entry_reason': '', 'entry_type': 'or_breakout', 'atr': 5.217078957463694, 'atr_value': 5.217078957463694, 'adx_value': 40.172243488609915, 'market_state': 'OR_BREAKOUT', 'trend_label': '', 'trend_label_htf': '', 'session_type': 'RTH', 'entry_bar_index': 15540}",MOM_BRK_LONG
ES,LONG,2024-11-29 17:00:00+00:00,6053.75,2024-11-29 18:00:00+00:00,6051.25,1,-14.9,2.5,2.4,flatten,"{'signal_confidence': 0.7, 'signal_reason': 'MOM_BRK_LONG | ADX=28 | RSI=73 | brkH=6051.00 | SL=7.0pt | TP=14.0pt', 'entry_module': '', 'entry_reason': '', 'entry_type': 'or_breakout', 'atr': 4.65832202791521, 'atr_value': 4.65832202791521, 'adx_value': 28.010324161928104, 'market_state': 'OR_BREAKOUT', 'trend_label': '', 'trend_label_htf': '', 'session_type': 'RTH', 'entry_bar_index': 16896}",MOM_BRK_LONG
ES,LONG,2024-12-10 15:45:00+00:00,6074.0,2024-12-10 16:00:00+00:00,6067.5,1,-34.9,6.5,2.4,stop_loss,"{'signal_confidence': 0.7, 'signal_reason': 'MOM_BRK_LONG | ADX=19 | RSI=63 | brkH=6073.25 | SL=5.9pt | TP=11.8pt', 'entry_module': '', 'entry_reason': '', 'entry_type': 'or_breakout', 'atr': 3.9324526355552636, 'atr_value': 3.9324526355552636, 'adx_value': 19.265841599228185, 'market_state': 'OR_BREAKOUT', 'trend_label': '', 'trend_label_htf': '', 'session_type': 'RTH', 'entry_bar_index': 618}",MOM_BRK_LONG
ES,LONG,2024-12-11 16:45:00+00:00,6096.5,2024-12-11 18:45:00+00:00,6099.25,1,11.35,2.75,2.4,flatten,"{'signal_confidence': 0.7, 'signal_reason': 'MOM_BRK_LONG | ADX=54 | RSI=82 | brkH=6093.25 | SL=7.6pt | TP=15.2pt', 'entry_module': '', 'entry_reason': '', 'entry_type': 'or_breakout', 'atr': 5.0780647700779955, 'atr_value': 5.0780647700779955, 'adx_value': 54.17340216854288, 'market_state': 'OR_BREAKOUT', 'trend_label': '', 'trend_label_htf': '', 'session_type': 'RTH', 'entry_bar_index': 714}",MOM_BRK_LONG
ES,LONG,2024-12-24 16:45:00+00:00,6084.5,2024-12-24 17:00:00+00:00,6075.75,1,-46.15,8.75,2.4,stop_loss,"{'signal_confidence': 0.7, 'signal_reason': 'MOM_BRK_LONG | ADX=40 | RSI=83 | brkH=6081.25 | SL=8.5pt | TP=17.0pt', 'entry_module': '', 'entry_reason': '', 'entry_type': 'or_breakout', 'atr': 5.652155051050347, 'atr_value': 5.652155051050347, 'adx_value': 40.39552914275946, 'market_state': 'OR_BREAKOUT', 'trend_label': '', 'trend_label_htf': '', 'session_type': 'RTH', 'entry_bar_index': 1542}",MOM_BRK_LONG
