id,order_id,timestamp,event_type,status,filled,remaining,avg_fill_price,message
127,5986,2025-11-06T04:05:54.755611,STATUS_UPDATE,Cancelled,0,1,,"Status: Cancelled"
128,5990,2025-11-06T04:06:00.215815,PLACED,Placed,,,,"BUY 1 ES"
129,5991,2025-11-06T04:06:00.217752,PLACED,Placed,,,,"SELL 1 ES"
130,5991,2025-11-06T04:06:00.474804,STATUS_UPDATE,PreSubmitted,0,1,,"Status: PreSubmitted"
131,5992,2025-11-06T04:06:00.477415,STATUS_UPDATE,PreSubmitted,0,1,,"Status: PreSubmitted"
132,5990,2025-11-06T04:06:00.479833,STATUS_UPDATE,Inactive,0,1,,"Status: Inactive"
133,5990,2025-11-06T04:06:00.481485,STATUS_UPDATE,Cancelled,0,1,,"Status: Cancelled"
134,5990,2025-11-06T04:06:00.483576,STATUS_UPDATE,Inactive,0,1,,"Status: Inactive"
135,5991,2025-11-06T04:06:00.485799,STATUS_UPDATE,Cancelled,0,1,,"Status: Cancelled"
136,5992,2025-11-06T04:06:00.487682,STATUS_UPDATE,Cancelled,0,1,,"Status: Cancelled"
137,5996,2025-11-06T04:06:05.893901,PLACED,Placed,,,,"SELL 1 ES"
138,5997,2025-11-06T04:06:05.896115,PLACED,Placed,,,,"BUY 1 ES"
139,5997,2025-11-06T04:06:05.958603,STATUS_UPDATE,PreSubmitted,0,1,,"Status: PreSubmitted"
140,5998,2025-11-06T04:06:05.961696,STATUS_UPDATE,PreSubmitted,0,1,,"Status: PreSubmitted"
141,5996,2025-11-06T04:06:05.963505,STATUS_UPDATE,Inactive,0,1,,"Status: Inactive"
142,5996,2025-11-06T04:06:05.965196,STATUS_UPDATE,Cancelled,0,1,,"Status: Cancelled"
143,5996,2025-11-06T04:06:05.966705,STATUS_UPDATE,Inactive,0,1,,"Status: Inactive"
144,5997,2025-11-06T04:06:05.967937,STATUS_UPDATE,Cancelled,0,1,,"Status: Cancelled"
145,5998,2025-11-06T04:06:05.969231,STATUS_UPDATE,Cancelled,0,1,,"Status: Cancelled"
146,6004,2025-11-06T04:06:17.193975,PLACED,Placed,,,,"SELL 1 ES"
147,6005,2025-11-06T04:06:17.196213,PLACED,Placed,,,,"BUY 1 ES"
148,6005,2025-11-06T04:06:17.254458,STATUS_UPDATE,PreSubmitted,0,1,,"Status: PreSubmitted"
149,6006,2025-11-06T04:06:17.256899,STATUS_UPDATE,PreSubmitted,0,1,,"Status: PreSubmitted"
