date,equity,unrealized_pnl
2025-09-03,5688.57,0.0
2025-09-04,5688.57,0.0
2025-09-05,5688.57,0.0
2025-09-08,5688.57,0.0
2025-09-09,5751.96,63.39
2025-09-10,5748.8,0.0
2025-09-11,5748.8,0.0
2025-09-12,5748.8,0.0
2025-09-15,5748.8,0.0
2025-09-16,5768.2,19.41
2025-09-17,5799.7,50.91
2025-09-18,5808.1,0.0
2025-09-19,5808.1,0.0
2025-09-22,5808.1,0.0
2025-09-23,5848.96,40.86
2025-09-24,5856.22,48.12
2025-09-25,5838.02,0.0
2025-09-26,5838.02,0.0
2025-09-29,5838.02,0.0
2025-09-30,5895.21,57.19
2025-10-01,5907.99,0.0
2025-10-02,5907.99,0.0
2025-10-03,5907.99,0.0
2025-10-06,5907.99,0.0
2025-10-07,5880.69,-27.3
2025-10-08,5973.43,0.0
2025-10-09,5973.43,0.0
2025-10-10,5973.43,0.0
2025-10-13,5973.43,0.0
2025-10-14,5963.41,-10.02
2025-10-15,5947.78,-25.65
2025-10-16,6046.18,0.0
2025-10-17,6046.18,0.0
2025-10-20,6046.18,0.0
2025-10-21,6119.31,0.0
2025-10-22,6082.31,-37.0
2025-10-23,6183.28,0.0
2025-10-24,6183.28,0.0
2025-10-27,6183.28,0.0
2025-10-28,6252.27,0.0
2025-10-29,6287.93,35.66
2025-10-30,6099.3,0.0
2025-10-31,6099.3,0.0
2025-11-03,6099.3,0.0
2025-11-04,5830.58,0.0
2025-11-05,5895.63,0.0
2025-11-06,5895.63,0.0
2025-11-07,5895.63,0.0
2025-11-10,5895.63,0.0
2025-11-11,5968.33,0.0
2025-11-12,6033.99,0.0
2025-11-13,6033.99,0.0
2025-11-14,6033.99,0.0
2025-11-17,6033.99,0.0
2025-11-18,6101.22,0.0
2025-11-19,6138.19,36.97
2025-11-20,6174.14,0.0
2025-11-21,6174.14,0.0
2025-11-24,6174.14,0.0
2025-11-25,5948.41,0.0
2025-11-26,5709.04,0.0
2025-11-28,5709.04,0.0
2025-12-01,5709.04,0.0
2025-12-02,5782.58,0.0
2025-12-03,5845.03,0.0
2025-12-04,5845.03,0.0
2025-12-05,5845.03,0.0
2025-12-08,5845.03,0.0
2025-12-09,5787.79,-57.23
2025-12-10,5909.52,0.0
2025-12-11,5909.52,0.0
2025-12-12,5909.52,0.0
2025-12-15,5909.52,0.0
2025-12-16,5769.34,-140.18
2025-12-17,5472.9,0.0
2025-12-18,5472.9,0.0
2025-12-19,5472.9,0.0
2025-12-22,5472.9,0.0
2025-12-23,5536.16,0.0
2025-12-24,5587.44,0.0
2025-12-26,5587.44,0.0
2025-12-29,5587.44,0.0
2025-12-30,5611.6,24.16
2025-12-31,5499.77,-87.67
2026-01-02,5614.04,26.6
2026-01-05,5651.7,0.0
2026-01-06,5719.14,0.0
2026-01-07,5777.39,0.0
2026-01-08,5777.39,0.0
2026-01-09,5777.39,0.0
2026-01-12,5777.39,0.0
2026-01-13,5841.2,0.0
2026-01-14,5727.64,-113.57
2026-01-15,5860.35,0.0
2026-01-16,5860.35,0.0
2026-01-20,5860.35,0.0
2026-01-21,5859.05,-1.3
2026-01-22,5826.74,0.0
2026-01-23,5826.74,0.0
2026-01-26,5826.74,0.0
2026-01-27,5897.95,0.0
2026-01-28,5957.21,59.26
2026-01-29,5961.63,0.0
2026-01-30,5961.63,0.0
2026-02-02,5961.63,0.0
2026-02-03,6018.27,56.64
2026-02-04,6033.44,0.0
2026-02-05,6033.44,0.0
2026-02-06,6033.44,0.0
2026-02-09,6033.44,0.0
2026-02-10,6018.71,-14.73
2026-02-11,6069.63,36.2
2026-02-12,6100.21,0.0
2026-02-13,6100.21,0.0
2026-02-17,6100.21,0.0
2026-02-18,6039.0,-61.21
2026-02-19,6148.06,0.0
2026-02-20,6148.06,0.0
2026-02-23,6148.06,0.0
2026-02-24,6200.03,51.96
2026-02-25,6152.25,4.19
2026-02-26,6224.46,0.0
2026-02-27,6224.46,0.0
2026-03-02,6224.46,0.0
2026-03-03,6244.69,20.23
2026-03-04,6226.37,1.91
2026-03-05,6304.43,0.0
2026-03-06,6304.43,0.0
2026-03-09,6304.43,0.0
2026-03-10,6259.12,-45.31
2026-03-11,6328.68,24.25
2026-03-12,6390.53,0.0
