date,signal_type,right,strike,confidence,confidence_tier,regime,spy_entry,spy_exit,entry_premium,exit_premium,pnl_per_contract,pnl_pct,holding_hours,vix,iv_rank,month
2025-07-16,CALL_SWEEP,C,617.0,0.7946907352255274,MEDIUM,TREND_UP,618.9697265625,622.301513671875,7.19,8.12,92.65,12.88,48.0,17.15999984741211,9.495623859673923,2025-07
2025-07-17,CALL_SWEEP,C,626.0,0.8310510172241085,HIGH,TREND_UP,622.7576293945312,623.4815063476562,4.45,3.86,-58.32,-13.12,48.0,16.520000457763672,7.848687771434265,2025-07
2025-07-18,CALL_SWEEP,C,620.0,0.8548118506170174,HIGH,TREND_UP,622.301513671875,623.5707397460938,7.16,7.02,-13.78,-1.92,48.0,16.40999984741211,7.565618790671809,2025-07
2025-07-21,CALL_SWEEP,C,623.0,0.8459537314376755,HIGH,TREND_UP,623.4815063476562,628.8757934570312,6.25,8.3,204.32,32.67,48.0,16.649999618530273,8.18321982376168,2025-07
2025-07-22,CALL_SWEEP,C,621.0,0.8457587618189253,HIGH,TREND_UP,623.5707397460938,629.083984375,7.36,9.94,257.9,35.05,48.0,16.5,7.797219791612599,2025-07
2025-07-23,CALL_SWEEP,C,634.0,0.8215500487462399,HIGH,TREND_UP,628.8757934570312,631.741455078125,3.38,3.54,16.04,4.75,48.0,15.369999885559082,4.889345193154012,2025-07
2025-07-24,CALL_SWEEP,C,628.0,0.8618420453480142,HIGH,TREND_UP,629.083984375,631.5828247070312,6.19,6.68,49.01,7.91,48.0,15.390000343322754,4.940813172975679,2025-07
2025-07-25,CALL_SWEEP,C,639.0,0.8662429233675107,HIGH,TREND_UP,631.741455078125,629.9168701171875,2.55,1.6,-95.02,-37.21,48.0,14.930000305175781,3.757076632489248,2025-07
2025-07-28,CALL_SWEEP,C,633.0,0.8567082098155828,HIGH,TREND_UP,631.5828247070312,629.1236572265625,4.82,3.03,-179.67,-37.25,48.0,15.029999732971191,4.014409169212518,2025-07
2025-07-29,CALL_SWEEP,C,628.0,0.8268525327850624,HIGH,TREND_UP,629.9168701171875,626.7637329101562,6.87,4.48,-238.26,-34.7,48.0,15.979999542236328,6.4590817657895245,2025-07
2025-07-30,CALL_SWEEP,C,630.0,0.7912877910780105,MEDIUM,TREND_UP,629.1236572265625,616.49072265625,5.22,1.54,-260.85,-50.0,48.0,15.479999542236328,5.172411719788116,2025-07
2025-07-31,CALL_SWEEP,C,632.0,0.8207231020877097,HIGH,TREND_UP,626.7637329101562,616.49072265625,3.76,1.57,-188.22,-50.0,24.0,16.719999313354492,8.363352844880804,2025-07
2025-08-01,PUT_SWEEP,P,611.0,0.8282954106386343,HIGH,RANGE_BOUND,616.49072265625,625.8612670898438,4.31,0.95,-215.57,-50.0,24.0,20.3799991607666,17.78177718895058,2025-08
2025-08-04,CALL_SWEEP,C,630.0,0.8118163671795685,HIGH,RANGE_BOUND,625.8612670898438,627.457763671875,4.45,3.92,-52.67,-11.85,48.0,17.520000457763672,10.422027863437084,2025-08
2025-08-05,PUT_SWEEP,P,617.0,0.8158405926101308,HIGH,RANGE_BOUND,622.6881713867188,627.457763671875,3.5,1.56,-174.84,-50.0,24.0,17.850000381469727,11.271229897467745,2025-08
2025-08-06,PUT_SWEEP,P,631.0,0.783431729015336,MEDIUM,RANGE_BOUND,627.457763671875,631.8207397460938,7.45,3.89,-356.2,-47.82,48.0,16.770000457763672,8.49202279443497,2025-08
2025-08-07,CALL_SWEEP,C,625.0,0.8514142177801489,HIGH,TREND_UP,626.9321899414062,630.5713500976562,7.05,8.32,127.28,18.06,48.0,16.56999969482422,7.9773528127317235,2025-08
2025-08-08,CALL_SWEEP,C,640.0,0.7900080545405689,MEDIUM,TREND_UP,631.8207397460938,637.2844848632812,2.35,3.33,97.41,41.38,48.0,15.149999618530273,4.323209685757454,2025-08
2025-08-11,CALL_SWEEP,C,628.0,0.8493360057755808,HIGH,TREND_UP,630.5713500976562,639.4659423828125,7.34,12.59,524.59,71.48,48.0,16.25,7.153884768611894,2025-08
2025-08-12,CALL_SWEEP,C,642.0,0.866757593349214,HIGH,TREND_UP,637.2844848632812,639.525390625,3.38,3.47,8.85,2.62,48.0,14.729999542236328,3.242406650786002,2025-08
2025-08-13,CALL_SWEEP,C,642.0,0.8009689443823039,HIGH,TREND_UP,639.4659423828125,638.0281372070312,4.2,2.94,-125.38,-29.87,48.0,14.489999771118164,2.6248056176961305,2025-08
2025-08-14,CALL_SWEEP,C,646.0,0.8020033469739329,HIGH,TREND_UP,639.525390625,637.8892822265625,2.83,1.65,-117.6,-41.62,48.0,14.829999923706055,3.499741641637625,2025-08
2025-08-15,CALL_SWEEP,C,641.0,0.8455128374485056,HIGH,TREND_UP,638.0281372070312,634.4286499023438,4.21,2.19,-202.03,-48.02,48.0,15.09000015258789,4.168810654549163,2025-08
2025-08-19,CALL_SWEEP,C,638.0,0.8292298451576527,HIGH,TREND_UP,634.4286499023438,630.2044677734375,4.09,2.07,-201.82,-49.32,48.0,15.569999694824219,5.404012720728906,2025-08
2025-08-20,CALL_SWEEP,C,635.0,0.8258860254552087,HIGH,TREND_UP,632.742919921875,639.8824462890625,4.68,7.38,270.08,57.71,48.0,15.6899995803833,5.712813237273841,2025-08
2025-08-21,CALL_SWEEP,C,631.0,0.7989266713965386,MEDIUM,RANGE_BOUND,630.2044677734375,637.0662231445312,5.66,8.34,268.51,47.47,48.0,16.600000381469727,8.054554782464223,2025-08
2025-08-22,CALL_SWEEP,C,638.0,0.8027002020824796,HIGH,RANGE_BOUND,639.8824462890625,639.733642578125,6.33,5.51,-82.19,-12.99,48.0,14.220000267028809,1.9300050690021133,2025-08
2025-08-25,CALL_SWEEP,C,637.0,0.83804759361642,HIGH,TREND_UP,637.0662231445312,641.1912841796875,5.52,7.09,157.75,28.59,48.0,14.789999961853027,3.396808136122646,2025-08
