symbol,direction,entry_time,entry_price,exit_time,exit_price,quantity,realized_pnl,pnl_points,commission,exit_reason,entry_metadata,signal_type
ES,LONG,2025-04-09 11:45:00-05:00,5048.0,2025-04-09 12:00:00-05:00,5064.0,1,77.6,16.0,2.4,take_profit,"{'signal_confidence': 0.7, 'signal_reason': 'EMA21_PB_LONG | ADX=23 | RSI=58 | MACD_H=4.26 | ATR=43.0 | SL=12.0pts[STRUCT] | TP=16.0pts', 'entry_module': '', 'entry_reason': '', 'entry_type': 'ema21_pullback', 'atr': 42.968197402504124, 'atr_value': 42.968197402504124, 'adx_value': 22.717957718661772, 'market_state': 'UPTREND_PULLBACK', 'trend_label': '', 'trend_label_htf': '', 'session_type': 'RTH', 'entry_bar_index': 4382}",EMA21_PB_LONG
ES,LONG,2025-04-29 10:00:00-05:00,5572.75,2025-04-29 10:15:00-05:00,5561.75,1,-57.4,11.0,2.4,stop_loss,"{'signal_confidence': 0.7, 'signal_reason': 'OR_BREAK_LONG | ADX=21 | OR_H=5567.50 | SL=10.5pt | TP=14.0pt', 'entry_module': '', 'entry_reason': '', 'entry_type': 'or_breakout', 'atr': 14.059488375541656, 'atr_value': 14.059488375541656, 'adx_value': 20.88746133590589, 'market_state': 'OR_BREAKOUT', 'trend_label': '', 'trend_label_htf': '', 'session_type': 'RTH', 'entry_bar_index': 5571}",OR_BREAK_LONG
ES,LONG,2025-05-08 13:15:00-05:00,5720.25,2025-05-08 14:15:00-05:00,5731.75,1,55.1,11.5,2.4,take_profit,"{'signal_confidence': 0.7, 'signal_reason': 'EMA21_PB_LONG | ADX=25 | RSI=55 | MACD_H=1.04 | ATR=13.4 | SL=9.0pts[STRUCT] | TP=12.0pts', 'entry_module': '', 'entry_reason': '', 'entry_type': 'ema21_pullback', 'atr': 13.385168046619519, 'atr_value': 13.385168046619519, 'adx_value': 24.516162461684367, 'market_state': 'UPTREND_PULLBACK', 'trend_label': '', 'trend_label_htf': '', 'session_type': 'RTH', 'entry_bar_index': 6228}",EMA21_PB_LONG
ES,LONG,2025-05-13 11:30:00-05:00,5912.75,2025-05-13 13:30:00-05:00,5914.75,1,7.6,2.0,2.4,flatten,"{'signal_confidence': 0.7, 'signal_reason': 'TREND_CONT_LONG | ADX=51 | RSI=75 | MACD_H=1.64 | e9=5906.5 | #2 | SL=11.6pts | TP=14.6pts', 'entry_module': '', 'entry_reason': '', 'entry_type': 'trend_continuation_long', 'atr': 9.315178581704144, 'atr_value': 9.315178581704144, 'adx_value': 50.65917700983883, 'market_state': 'UPTREND_CONTINUATION', 'trend_label': '', 'trend_label_htf': '', 'session_type': 'RTH', 'entry_bar_index': 6497}",TREND_CONT_LONG
ES,LONG,2025-05-15 10:15:00-05:00,5910.75,2025-05-15 10:30:00-05:00,5924.5,1,66.35,13.75,2.4,take_profit,"{'signal_confidence': 0.7, 'signal_reason': 'TREND_CONT_LONG | ADX=30 | RSI=69 | MACD_H=2.23 | e9=5897.1 | #1 | SL=11.0pts | TP=13.7pts', 'entry_module': '', 'entry_reason': '', 'entry_type': 'trend_continuation_long', 'atr': 8.766400314623237, 'atr_value': 8.766400314623237, 'adx_value': 29.569651866602523, 'market_state': 'UPTREND_CONTINUATION', 'trend_label': '', 'trend_label_htf': '', 'session_type': 'RTH', 'entry_bar_index': 6676}",TREND_CONT_LONG
ES,LONG,2025-05-15 10:45:00-05:00,5928.0,2025-05-15 12:15:00-05:00,5942.25,1,68.85,14.25,2.4,take_profit,"{'signal_confidence': 0.7, 'signal_reason': 'TREND_CONT_LONG | ADX=34 | RSI=77 | MACD_H=3.89 | e9=5906.6 | #2 | SL=11.8pts | TP=14.8pts', 'entry_module': '', 'entry_reason': '', 'entry_type': 'trend_continuation_long', 'atr': 9.454192108016974, 'atr_value': 9.454192108016974, 'adx_value': 33.878050055842465, 'market_state': 'UPTREND_CONTINUATION', 'trend_label': '', 'trend_label_htf': '', 'session_type': 'RTH', 'entry_bar_index': 6678}",TREND_CONT_LONG
ES,LONG,2025-05-16 12:00:00-05:00,5955.0,2025-05-16 12:15:00-05:00,5962.5,1,35.1,7.5,2.4,take_profit,"{'signal_confidence': 0.7, 'signal_reason': 'EMA21_PB_LONG | ADX=23 | RSI=59 | MACD_H=1.38 | ATR=7.6 | SL=6.0pts[STRUCT] | TP=8.0pts', 'entry_module': '', 'entry_reason': '', 'entry_type': 'ema21_pullback', 'atr': 7.641609579311136, 'atr_value': 7.641609579311136, 'adx_value': 23.065607793041977, 'market_state': 'UPTREND_PULLBACK', 'trend_label': '', 'trend_label_htf': '', 'session_type': 'RTH', 'entry_bar_index': 6775}",EMA21_PB_LONG
ES,LONG,2025-05-16 12:30:00-05:00,5963.75,2025-05-16 14:00:00-05:00,5973.5,1,46.35,9.75,2.4,take_profit,"{'signal_confidence': 0.7, 'signal_reason': 'EMA9_PB_LONG | ADX=23 | RSI=65 | ATR=7.5 | SL=8.0pts | TP=10.0pts', 'entry_module': '', 'entry_reason': '', 'entry_type': 'ema9_pullback', 'atr': 7.463938871957051, 'atr_value': 7.463938871957051, 'adx_value': 23.22119355280029, 'market_state': 'UPTREND_PULLBACK', 'trend_label': '', 'trend_label_htf': '', 'session_type': 'RTH', 'entry_bar_index': 6777}",EMA9_PB_LONG
ES,LONG,2025-05-21 11:15:00-05:00,5950.0,2025-05-21 12:00:00-05:00,5940.5,1,-49.9,9.5,2.4,stop_loss,"{'signal_confidence': 0.7, 'signal_reason': 'EMA9_PB_LONG | ADX=27 | RSI=65 | ATR=9.3 | SL=9.3pts | TP=11.6pts', 'entry_module': '', 'entry_reason': '', 'entry_type': 'ema9_pullback', 'atr': 9.303447806521195, 'atr_value': 9.303447806521195, 'adx_value': 26.84127805589675, 'market_state': 'UPTREND_PULLBACK', 'trend_label': '', 'trend_label_htf': '', 'session_type': 'RTH', 'entry_bar_index': 7048}",EMA9_PB_LONG
ES,LONG,2025-05-27 09:45:00-05:00,5906.25,2025-05-27 11:00:00-05:00,5919.5,1,63.85,13.25,2.4,take_profit,"{'signal_confidence': 0.7, 'signal_reason': 'TREND_CONT_LONG | ADX=26 | RSI=59 | MACD_H=0.07 | e9=5896.4 | #1 | SL=10.9pts | TP=13.6pts', 'entry_module': '', 'entry_reason': '', 'entry_type': 'trend_continuation_long', 'atr': 8.698700813800263, 'atr_value': 8.698700813800263, 'adx_value': 26.137117137893586, 'market_state': 'UPTREND_CONTINUATION', 'trend_label': '', 'trend_label_htf': '', 'session_type': 'RTH', 'entry_bar_index': 7394}",TREND_CONT_LONG
ES,LONG,2025-05-27 11:15:00-05:00,5920.25,2025-05-27 11:30:00-05:00,5930.0,1,46.35,9.75,2.4,take_profit,"{'signal_confidence': 0.7, 'signal_reason': 'EMA9_PB_LONG | ADX=23 | RSI=69 | ATR=7.8 | SL=8.0pts | TP=10.0pts', 'entry_module': '', 'entry_reason': '', 'entry_type': 'ema9_pullback', 'atr': 7.802750710848378, 'atr_value': 7.802750710848378, 'adx_value': 22.931965793970498, 'market_state': 'UPTREND_PULLBACK', 'trend_label': '', 'trend_label_htf': '', 'session_type': 'RTH', 'entry_bar_index': 7400}",EMA9_PB_LONG
ES,LONG,2025-05-27 12:15:00-05:00,5926.25,2025-05-27 12:45:00-05:00,5936.0,1,46.35,9.75,2.4,take_profit,"{'signal_confidence': 0.7, 'signal_reason': 'EMA9_PB_LONG | ADX=27 | RSI=69 | ATR=7.6 | SL=8.0pts | TP=10.0pts', 'entry_module': '', 'entry_reason': '', 'entry_type': 'ema9_pullback', 'atr': 7.581687657552597, 'atr_value': 7.581687657552597, 'adx_value': 27.041776334142234, 'market_state': 'UPTREND_PULLBACK', 'trend_label': '', 'trend_label_htf': '', 'session_type': 'RTH', 'entry_bar_index': 7404}",EMA9_PB_LONG
ES,LONG,2025-06-03 09:15:00-05:00,5950.0,2025-06-03 10:00:00-05:00,5965.25,1,73.85,15.25,2.4,take_profit,"{'signal_confidence': 0.7, 'signal_reason': 'EMA21_PB_LONG | ADX=35 | RSI=67 | MACD_H=1.44 | ATR=6.8 | SL=11.8pts[STRUCT] | TP=15.8pts', 'entry_module': '', 'entry_reason': '', 'entry_type': 'ema21_pullback', 'atr': 6.805327023783, 'atr_value': 6.805327023783, 'adx_value': 34.87962833021877, 'market_state': 'UPTREND_PULLBACK', 'trend_label': '', 'trend_label_htf': '', 'session_type': 'RTH', 'entry_bar_index': 156}",EMA21_PB_LONG
ES,LONG,2025-06-04 09:30:00-05:00,5995.25,2025-06-04 09:45:00-05:00,5986.0,1,-48.65,9.25,2.4,stop_loss,"{'signal_confidence': 0.7, 'signal_reason': 'TREND_CONT_LONG | ADX=25 | RSI=57 | MACD_H=0.26 | e9=5990.1 | #2 | SL=9.0pts | TP=11.3pts', 'entry_module': '', 'entry_reason': '', 'entry_type': 'trend_continuation_long', 'atr': 7.222694475315361, 'atr_value': 7.222694475315361, 'adx_value': 25.033917462489985, 'market_state': 'UPTREND_CONTINUATION', 'trend_label': '', 'trend_label_htf': '', 'session_type': 'RTH', 'entry_bar_index': 249}",TREND_CONT_LONG
ES,LONG,2025-06-04 12:15:00-05:00,5992.25,2025-06-04 14:15:00-05:00,5989.75,1,-14.9,2.5,2.4,flatten,"{'signal_confidence': 0.7, 'signal_reason': 'EMA21_PB_LONG | ADX=24 | RSI=54 | MACD_H=-0.30 | ATR=7.4 | SL=6.0pts[STRUCT] | TP=8.0pts', 'entry_module': '', 'entry_reason': '', 'entry_type': 'ema21_pullback', 'atr': 7.368448464131853, 'atr_value': 7.368448464131853, 'adx_value': 23.95166847815808, 'market_state': 'UPTREND_PULLBACK', 'trend_label': '', 'trend_label_htf': '', 'session_type': 'RTH', 'entry_bar_index': 260}",EMA21_PB_LONG
ES,LONG,2025-06-10 09:15:00-05:00,6023.75,2025-06-10 10:30:00-05:00,6016.25,1,-39.9,7.5,2.4,stop_loss,"{'signal_confidence': 0.7, 'signal_reason': 'TREND_CONT_LONG | ADX=18 | RSI=61 | MACD_H=0.91 | e9=6019.1 | #2 | SL=7.2pts | TP=9.0pts', 'entry_module': '', 'entry_reason': '', 'entry_type': 'trend_continuation_long', 'atr': 5.739450802961148, 'atr_value': 5.739450802961148, 'adx_value': 18.223132260509956, 'market_state': 'UPTREND_CONTINUATION', 'trend_label': '', 'trend_label_htf': '', 'session_type': 'RTH', 'entry_bar_index': 616}",TREND_CONT_LONG
ES,LONG,2025-06-10 11:00:00-05:00,6027.25,2025-06-10 11:45:00-05:00,6036.0,1,41.35,8.75,2.4,take_profit,"{'signal_confidence': 0.7, 'signal_reason': 'EMA21_PB_LONG | ADX=22 | RSI=59 | MACD_H=0.48 | ATR=6.7 | SL=6.8pts[STRUCT] | TP=9.0pts', 'entry_module': '', 'entry_reason': '', 'entry_type': 'ema21_pullback', 'atr': 6.725459079040492, 'atr_value': 6.725459079040492, 'adx_value': 21.791973642160606, 'market_state': 'UPTREND_PULLBACK', 'trend_label': '', 'trend_label_htf': '', 'session_type': 'RTH', 'entry_bar_index': 623}",EMA21_PB_LONG
ES,LONG,2025-06-11 09:15:00-05:00,6055.5,2025-06-11 11:00:00-05:00,6043.25,1,-63.65,12.25,2.4,stop_loss,"{'signal_confidence': 0.7, 'signal_reason': 'TREND_CONT_LONG | ADX=26 | RSI=63 | MACD_H=1.08 | e9=6050.0 | #2 | SL=11.7pts | TP=14.6pts', 'entry_module': '', 'entry_reason': '', 'entry_type': 'trend_continuation_long', 'atr': 9.324864527948213, 'atr_value': 9.324864527948213, 'adx_value': 26.157328602029125, 'market_state': 'UPTREND_CONTINUATION', 'trend_label': '', 'trend_label_htf': '', 'session_type': 'RTH', 'entry_bar_index': 708}",TREND_CONT_LONG
ES,LONG,2025-06-12 09:30:00-05:00,6039.0,2025-06-12 11:30:00-05:00,6043.25,1,18.85,4.25,2.4,flatten,"{'signal_confidence': 0.7, 'signal_reason': 'TREND_CONT_LONG | ADX=30 | RSI=76 | MACD_H=4.28 | e9=6020.5 | #1 | SL=10.5pts | TP=13.2pts', 'entry_module': '', 'entry_reason': '', 'entry_type': 'trend_continuation_long', 'atr': 8.417262423436641, 'atr_value': 8.417262423436641, 'adx_value': 30.018108122740923, 'market_state': 'UPTREND_CONTINUATION', 'trend_label': '', 'trend_label_htf': '', 'session_type': 'RTH', 'entry_bar_index': 801}",TREND_CONT_LONG
ES,LONG,2025-06-12 12:15:00-05:00,6045.25,2025-06-12 14:15:00-05:00,6046.0,1,1.35,0.75,2.4,flatten,"{'signal_confidence': 0.7, 'signal_reason': 'TREND_CONT_LONG | ADX=35 | RSI=66 | MACD_H=0.45 | e9=6040.1 | #2 | SL=11.8pts | TP=14.8pts', 'entry_module': '', 'entry_reason': '', 'entry_type': 'trend_continuation_long', 'atr': 9.469917220865888, 'atr_value': 9.469917220865888, 'adx_value': 35.261052305393356, 'market_state': 'UPTREND_CONTINUATION', 'trend_label': '', 'trend_label_htf': '', 'session_type': 'RTH', 'entry_bar_index': 812}",TREND_CONT_LONG
ES,LONG,2025-06-17 10:45:00-05:00,6073.75,2025-06-17 11:45:00-05:00,6062.0,1,-61.15,11.75,2.4,stop_loss,"{'signal_confidence': 0.7, 'signal_reason': 'TREND_CONT_LONG | ADX=18 | RSI=55 | MACD_H=0.80 | e9=6070.9 | #1 | SL=11.5pts | TP=14.3pts', 'entry_module': '', 'entry_reason': '', 'entry_type': 'trend_continuation_long', 'atr': 9.160267847947743, 'atr_value': 9.160267847947743, 'adx_value': 18.314140049950353, 'market_state': 'UPTREND_CONTINUATION', 'trend_label': '', 'trend_label_htf': '', 'session_type': 'RTH', 'entry_bar_index': 1082}",TREND_CONT_LONG
ES,LONG,2025-06-18 09:45:00-05:00,6072.0,2025-06-18 10:15:00-05:00,6061.75,1,-53.65,10.25,2.4,stop_loss,"{'signal_confidence': 0.7, 'signal_reason': 'TREND_CONT_LONG | ADX=18 | RSI=71 | MACD_H=2.85 | e9=6057.1 | #1 | SL=9.6pts | TP=12.0pts', 'entry_module': '', 'entry_reason': '', 'entry_type': 'trend_continuation_long', 'atr': 7.650822653245166, 'atr_value': 7.650822653245166, 'adx_value': 18.287977220902075, 'market_state': 'UPTREND_CONTINUATION', 'trend_label': '', 'trend_label_htf': '', 'session_type': 'RTH', 'entry_bar_index': 1170}",TREND_CONT_LONG
ES,LONG,2025-06-24 10:15:00-05:00,6130.25,2025-06-24 11:30:00-05:00,6143.25,1,62.6,13.0,2.4,take_profit,"{'signal_confidence': 0.7, 'signal_reason': 'TREND_CONT_LONG | ADX=19 | RSI=58 | MACD_H=0.66 | e9=6124.2 | #1 | SL=10.4pts | TP=13.0pts', 'entry_module': '', 'entry_reason': '', 'entry_type': 'trend_continuation_long', 'atr': 8.304695290167327, 'atr_value': 8.304695290167327, 'adx_value': 18.513045436752932, 'market_state': 'UPTREND_CONTINUATION', 'trend_label': '', 'trend_label_htf': '', 'session_type': 'RTH', 'entry_bar_index': 1524}",TREND_CONT_LONG
ES,LONG,2025-06-24 11:45:00-05:00,6148.5,2025-06-24 13:45:00-05:00,6147.75,1,-6.15,0.75,2.4,flatten,"{'signal_confidence': 0.7, 'signal_reason': 'TREND_CONT_LONG | ADX=20 | RSI=71 | MACD_H=2.35 | e9=6136.1 | #2 | SL=9.2pts | TP=11.6pts', 'entry_module': '', 'entry_reason': '', 'entry_type': 'trend_continuation_long', 'atr': 7.397497331686478, 'atr_value': 7.397497331686478, 'adx_value': 19.91978235726326, 'market_state': 'UPTREND_CONTINUATION', 'trend_label': '', 'trend_label_htf': '', 'session_type': 'RTH', 'entry_bar_index': 1530}",TREND_CONT_LONG
