symbol,direction,entry_time,entry_price,exit_time,exit_price,quantity,realized_pnl,pnl_points,commission,exit_reason,entry_metadata
MES,LONG,2025-07-09 20:00:00+00:00,6420.0,2025-07-09 20:15:00+00:00,6409.25,1,-56.15,10.75,2.4,stop_loss,"{'signal_confidence': 0.7, 'signal_reason': 'EMA21_PB_LONG | ADX=35 | RSI=82 | MACD_H=1.60 | ATR=2.6', 'entry_module': '', 'entry_reason': '', 'entry_type': 'ema21_pullback', 'atr': 2.56381774255293, 'atr_value': 2.56381774255293, 'adx_value': 34.71487219363017, 'market_state': 'UPTREND_PULLBACK', 'trend_label': '', 'trend_label_htf': '', 'session_type': 'RTH', 'entry_bar_index': 2846}"
MES,SHORT,2025-07-15 18:30:00+00:00,6423.0,2025-07-15 19:30:00+00:00,6410.25,1,61.35,12.75,2.4,take_profit,"{'signal_confidence': 0.7, 'signal_reason': 'EMA21_PB_SHORT | ADX=35 | RSI=27 | MACD_H=0.02 | ATR=1.2', 'entry_module': '', 'entry_reason': '', 'entry_type': 'ema21_pullback_short', 'atr': 1.2382192876213698, 'atr_value': 1.2382192876213698, 'adx_value': 34.89291488345529, 'market_state': 'DOWNTREND_PULLBACK', 'trend_label': '', 'trend_label_htf': '', 'session_type': 'RTH', 'entry_bar_index': 2990}"
MES,LONG,2025-07-16 17:30:00+00:00,6403.5,2025-07-16 19:30:00+00:00,6403.0,1,-4.9,0.5,2.4,flatten,"{'signal_confidence': 0.7, 'signal_reason': 'TREND_CONT_LONG | ADX=55 | RSI=66 | MACD_H=1.74 | e9=6386.7 | #1 | SL=6.0pts | TP=7.5pts', 'entry_module': '', 'entry_reason': '', 'entry_type': 'trend_continuation_long', 'atr': 6.028302071438482, 'atr_value': 6.028302071438482, 'adx_value': 55.495764486192854, 'market_state': 'UPTREND_CONTINUATION', 'trend_label': '', 'trend_label_htf': '', 'session_type': 'RTH', 'entry_bar_index': 3078}"
MES,LONG,2025-07-21 16:45:00+00:00,6481.25,2025-07-21 18:45:00+00:00,6480.75,1,-4.9,0.5,2.4,flatten,"{'signal_confidence': 0.7, 'signal_reason': 'TREND_CONT_LONG | ADX=79 | RSI=71 | MACD_H=0.12 | e9=6480.1 | #1 | SL=6.0pts | TP=7.5pts', 'entry_module': '', 'entry_reason': '', 'entry_type': 'trend_continuation_long', 'atr': 1.7182629600921515, 'atr_value': 1.7182629600921515, 'adx_value': 78.95296086359821, 'market_state': 'UPTREND_CONTINUATION', 'trend_label': '', 'trend_label_htf': '', 'session_type': 'RTH', 'entry_bar_index': 3313}"
MES,LONG,2025-07-22 19:45:00+00:00,6465.25,2025-07-23 00:00:00+00:00,6474.75,1,45.1,9.5,2.4,take_profit,"{'signal_confidence': 0.7, 'signal_reason': 'EMA21_PB_LONG | ADX=38 | RSI=81 | MACD_H=1.93 | ATR=1.5', 'entry_module': '', 'entry_reason': '', 'entry_type': 'ema21_pullback', 'atr': 1.5357837210152077, 'atr_value': 1.5357837210152077, 'adx_value': 38.23998544009054, 'market_state': 'UPTREND_PULLBACK', 'trend_label': '', 'trend_label_htf': '', 'session_type': 'RTH', 'entry_bar_index': 3385}"
MES,LONG,2025-07-23 17:00:00+00:00,6492.0,2025-07-23 17:45:00+00:00,6500.5,1,40.1,8.5,2.4,take_profit,"{'signal_confidence': 0.7, 'signal_reason': 'TREND_CONT_LONG | ADX=57 | RSI=63 | MACD_H=1.51 | e9=6484.0 | #1 | SL=6.0pts | TP=7.5pts', 'entry_module': '', 'entry_reason': '', 'entry_type': 'trend_continuation_long', 'atr': 3.5495183617164243, 'atr_value': 3.5495183617164243, 'adx_value': 57.12614925805797, 'market_state': 'UPTREND_CONTINUATION', 'trend_label': '', 'trend_label_htf': '', 'session_type': 'RTH', 'entry_bar_index': 3458}"
MES,LONG,2025-07-23 18:30:00+00:00,6506.25,2025-07-23 20:30:00+00:00,6513.5,1,33.85,7.25,2.4,take_profit,"{'signal_confidence': 0.7, 'signal_reason': 'TREND_CONT_LONG | ADX=51 | RSI=71 | MACD_H=2.31 | e9=6494.6 | #2 | SL=6.0pts | TP=7.5pts', 'entry_module': '', 'entry_reason': '', 'entry_type': 'trend_continuation_long', 'atr': 3.6561129628702345, 'atr_value': 3.6561129628702345, 'adx_value': 50.731145449723684, 'market_state': 'UPTREND_CONTINUATION', 'trend_label': '', 'trend_label_htf': '', 'session_type': 'RTH', 'entry_bar_index': 3464}"
MES,SHORT,2025-07-29 15:00:00+00:00,6538.0,2025-07-29 15:30:00+00:00,6520.0,1,87.6,18.0,2.4,take_profit,"{'signal_confidence': 0.7, 'signal_reason': 'EMA21_PB_SHORT | ADX=33 | RSI=22 | MACD_H=-1.77 | ATR=1.4', 'entry_module': '', 'entry_reason': '', 'entry_type': 'ema21_pullback_short', 'atr': 1.3598608922238242, 'atr_value': 1.3598608922238242, 'adx_value': 32.5493086113389, 'market_state': 'DOWNTREND_PULLBACK', 'trend_label': '', 'trend_label_htf': '', 'session_type': 'RTH', 'entry_bar_index': 3727}"
MES,SHORT,2025-07-30 19:00:00+00:00,6485.0,2025-07-30 19:15:00+00:00,6492.0,1,-37.4,7.0,2.4,take_profit,"{'signal_confidence': 0.7, 'signal_reason': 'EMA21_PB_SHORT | ADX=23 | RSI=12 | MACD_H=-1.34 | ATR=2.4', 'entry_module': '', 'entry_reason': '', 'entry_type': 'ema21_pullback_short', 'atr': 2.38313389995893, 'atr_value': 2.38313389995893, 'adx_value': 23.196410302371874, 'market_state': 'DOWNTREND_PULLBACK', 'trend_label': '', 'trend_label_htf': '', 'session_type': 'RTH', 'entry_bar_index': 3772}"
MES,SHORT,2025-07-31 17:30:00+00:00,6523.75,2025-07-31 17:45:00+00:00,6516.5,1,33.85,7.25,2.4,take_profit,"{'signal_confidence': 0.7, 'signal_reason': 'TREND_CONT_SHORT | ADX=60 | RSI=30 | MACD_H=-0.54 | e9=6543.0 | #1 | SL=6.0pts | TP=7.5pts', 'entry_module': '', 'entry_reason': '', 'entry_type': 'trend_continuation_short', 'atr': 5.677947261752659, 'atr_value': 5.677947261752659, 'adx_value': 59.515739666960826, 'market_state': 'DOWNTREND_CONTINUATION', 'trend_label': '', 'trend_label_htf': '', 'session_type': 'RTH', 'entry_bar_index': 3856}"
